,,,,,,,Length class (mb),,,,,Length class (kb),,,,,,
Animal ID,State,LGA,Cluster,No. ROH,Total length ROH (kb),Average length ROH (kb),0-0.2,0.2-0.4,0.4-0.8,0.8-1.6,>1.6,>100,>500,>1000,Froh,Froh for ROHs >100 kb,Froh for ROHs >500 kb,Froh for ROH > 1 Mb
Toowoo_F_58264,QLD,Toowoomba,N_QLD,3440,909858,264.49,1886,932,522,99,1,909858.34,285958.89,53148.20,0.30,0.30,0.09,0.02
Toowoo_F_79193,QLD,Toowoomba,N_QLD,1913,404248,211.32,1274,449,166,23,1,404247.54,77361.33,10677.21,0.13,0.13,0.03,0.00
Toowoomba-F-55522,QLD,Toowoomba,N_QLD,1907,427392,224.12,1266,424,180,33,4,427392.33,108654.36,22385.21,0.14,0.14,0.04,0.01
Toowoomba-F-58076,QLD,Toowoomba,N_QLD,2418,607510,251.25,1408,634,304,69,3,607509.81,192423.87,31925.82,0.20,0.20,0.06,0.01
Toowoomba-F-70978,QLD,Toowoomba,N_QLD,1872,402070,214.78,1327,338,168,37,2,402069.72,108785.08,16256.63,0.13,0.13,0.04,0.01
Toowoomba-F-74526,QLD,Toowoomba,N_QLD,2100,486265,231.56,1308,519,231,42,0,486264.88,119221.88,16121.16,0.16,0.16,0.04,0.01
Toowoomba-F-79192,QLD,Toowoomba,N_QLD,1961,433871,221.25,1290,442,194,34,1,433870.88,98069.06,17581.50,0.14,0.14,0.03,0.01
Toowoomba-F-79503,QLD,Toowoomba,N_QLD,2071,520052,251.11,1282,461,260,63,5,520051.59,169590.78,51577.65,0.17,0.17,0.06,0.02
Toowoomba-F-86343,QLD,Toowoomba,N_QLD,2609,668929,256.39,1526,656,338,84,5,668829.35,216311.17,52171.36,0.22,0.22,0.07,0.02
Toowoomba-F-87937,QLD,Toowoomba,N_QLD,1704,341895,200.64,1227,332,125,19,1,341894.79,69911.07,13413.77,0.11,0.11,0.02,0.00
Toowoomba-F-92545,QLD,Toowoomba,N_QLD,2075,501782,241.82,1301,473,243,54,4,501781.92,152329.16,41823.17,0.16,0.16,0.05,0.01
Toowoomba-M-72310,QLD,Toowoomba,N_QLD,2303,577741,250.87,1364,593,266,77,3,577740.96,180421.87,44284.53,0.19,0.19,0.06,0.01
WDowns_F_70719,QLD,WesternDowns,N_QLD,3285,832613,253.46,1812,978,413,82,0,832612.76,228934.61,38718.74,0.27,0.27,0.07,0.01
WDowns_F_82321,QLD,WesternDowns,N_QLD,3399,978974,288.02,1741,961,549,137,11,978974.25,361441.61,106425.49,0.32,0.32,0.12,0.03
WDowns_M_75384,QLD,WesternDowns,N_QLD,3179,871579,274.17,1634,962,460,121,2,871578.73,280684.17,64973.39,0.28,0.28,0.09,0.02
WDowns-F-55372,QLD,WesternDowns,N_QLD,2229,530807,238.14,1354,563,264,45,3,530807.36,140163.56,25568.94,0.17,0.17,0.05,0.01
WDowns-F-70143,QLD,WesternDowns,N_QLD,1964,378386,192.66,1377,459,123,5,0,378385.82,41736.70,1028.91,0.12,0.12,0.01,0.00
WDowns-M-70754,QLD,WesternDowns,N_QLD,2451,631370,257.60,1414,620,333,80,4,631370.03,195810.72,53090.69,0.21,0.21,0.06,0.02
BMnt-F-7041195,NSW,BlueMountains,S_NSW,3416,881376,258.01,2027,842,414,128,5,881375.95,293106.99,74092.38,0.29,0.29,0.10,0.02
BMnt-F-7041197,NSW,BlueMountains,S_NSW,4244,1210000,285.56,2226,1162,654,193,9,1211930.02,465811.97,133507.00,0.39,0.39,0.15,0.04
BMnt-M-7041193,NSW,BlueMountains,S_NSW,3773,1010000,267.89,2172,938,500,156,7,1010737.35,352878.44,99673.28,0.33,0.33,0.11,0.03
BMnt-M-7041194,NSW,BlueMountains,S_NSW,2896,625792,216.09,1998,595,238,65,0,625792.31,153432.84,36600.55,0.20,0.20,0.05,0.01
BMnt-M-7041198,NSW,BlueMountains,S_NSW,3632,975756,268.66,2077,889,513,145,8,975755.55,341957.64,96809.37,0.32,0.32,0.11,0.03
BMnt-M-7041200,NSW,BlueMountains,S_NSW,4322,1250000,289.61,2232,1198,667,216,9,1251671.04,477447.83,116519.66,0.41,0.41,0.16,0.04
CBTown_F_C12K2,NSW,SouthWestSydney,S_NSW,4401,1250000,285.11,2226,1273,711,183,8,1254778.67,449351.51,108950.83,0.41,0.41,0.15,0.04
CBTown_F_C12K4,NSW,SouthWestSydney,S_NSW,3913,1040000,266.23,2200,1012,555,142,4,1041751.54,356572.21,78382.68,0.34,0.34,0.12,0.03
CBTown_F_C2K4,NSW,SouthWestSydney,S_NSW,3758,1000000,266.28,2097,982,550,125,4,1000690.47,337219.28,76612.56,0.33,0.33,0.11,0.02
CBTown_F_C3K2,NSW,SouthWestSydney,S_NSW,4375,1240000,284.09,2235,1260,688,182,10,1242888.96,439706.05,117764.39,0.40,0.40,0.14,0.04
CBTown_F_C5K7,NSW,SouthWestSydney,S_NSW,4333,1250000,288.70,2178,1300,648,194,13,1250915.10,468222.61,135494.80,0.41,0.41,0.15,0.04
